base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty,coherence_score,coherence_reason,fluency_score,fluency_reason,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal of protecting well-being and avoiding pain is framed within Conflict Resolution, where the source of pain is an interpersonal dispute. Agent 1 protects their well-being by withdrawing to safety, while Agent 2 protects their well-being by attempting to repair the bond to stop the anxiety of separation.",Assert emotional distance to minimize perceived vulnerability.,Elicit empathetic reassurance to reduce relational anxiety.,"""Protecting my well-being, avoiding pain""",Defensive Withdrawer,Anxious Conciliator,"{'scenario_context': '[Agent 1] and [Agent 2] are resting in their living room following a briefly tense discussion about weekend plans that ended without a clear resolution. Both share a mutual desire to keep the evening peaceful and avoid escalating the tension into a painful argument. [Agent 1] is currently sitting in an armchair engaging in a solitary activity to create a buffer of safety and emotional regulation. Meanwhile, [Agent 2] is seated on the nearby sofa, looking for an opportunity to verify that the relationship is stable and to soothe their lingering uneasiness without provoking a defensive reaction.', 'explanation': ""The scenario is classified as 'Easy' because the immediate conflict has passed, and both agents share a strong motivation to avoid further pain. The setting allows Agent 1 to maintain their desired distance physically while remaining in the same room, and it provides Agent 2 a safe opening to seek reassurance without high stakes. This setup facilitates a cooperative resolution where the Anxious Conciliator can be soothed and the Defensive Withdrawer can remain safe, satisfying both individual and shared goals with minimal friction.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as avoiding escalation and maintaining peace. Agent roles and goals align with the input, with Agent 1 creating distance and Agent 2 seeking reassurance. The scenario flows logically, with both agents acting consistently with their roles and goals.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads like native-written English. Vocabulary is appropriate and not repetitive, with clear and varied word choices. The scenario is easy to understand from start to end, with a coherent narrative.",0.7888913750648499,"{'shared_goal_score': 0.9993770122528076, 'social_goal_category_score': 0.5499384999275208, 'first_agent_goal_score': 0.9998188614845276, 'second_agent_goal_score': 0.9982314705848694, 'first_agent_role_score': 0.6028223037719727, 'second_agent_role_score': 0.5831601023674011}"
"{'Abbreviation': 'Mechanical ability', 'Full label': '""Having mechanical ability""'}",Competition,"The category 'Competition' was chosen because the shared goal 'Having mechanical ability' naturally invites social comparison regarding who possesses superior competence or the 'interactional right' to claim expertise. This setup allows for distinct attributional styles: one agent attributes ability to innate experience and intuition, while the other attributes it to modern knowledge and precision, creating a conflict over the definition of the trait itself.",To vocally dismiss reliance on technology while prioritizing intuition and physical experience in the dialogue.,"To maintain a detached, analytical tone that frames the other’s manual methods as outdated and imprecise.","""Having mechanical ability""",Traditional Veteran Mechanic,Modern Diagnostic Technician,"{'scenario_context': ""[Agent 1] and [Agent 2] are standing in a well-lit garage, tasked with identifying the source of a subtle engine rattle in a customer's vehicle. To achieve the shared goal of demonstrating their mechanical competence and solving the issue, they must agree on a diagnosis. [Agent 1] leans directly over the engine bay to listen to the valves and feel the vibrations, intending to rely on sensory intuition and manual inspection. Meanwhile, [Agent 2] stands adjacent with a high-tech tablet connected to the car's OBD-II port, preparing to analyze data streams rather than touch the machinery. The low-pressure environment allows them to work on the same vehicle while contrasting their methods."", 'explanation': ""The scenario creates a low-stakes, routine setting ('Easy' difficulty) that allows both agents to cooperate toward the repair while naturally competing over methodology. By assigning physical proximity to the engine for [Agent 1] and a digital interface for [Agent 2], the context physically manifests their psychological roles. This setup facilitates [Agent 1]'s goal of dismissing technology in favor of 'feel' and [Agent 2]'s goal of maintaining an analytical, detached stance, all within the framework of a shared task.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'demonstrating their mechanical competence and solving the issue'. Agent roles and goals align with the input, with Agent 1 focusing on intuition and physical experience and Agent 2 maintaining an analytical tone. The scenario flows logically, contrasting methods while working toward the shared goal without contradictions.",1.0,"The response demonstrates strong grammar and sentence structure, proper punctuation, and smooth, natural flow. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly described and easy to follow from start to end.",0.7801799972852071,"{'shared_goal_score': 0.998930811882019, 'social_goal_category_score': 0.8329986929893494, 'first_agent_goal_score': 0.8858852386474609, 'second_agent_goal_score': 0.9540959000587463, 'first_agent_role_score': 0.2995264530181885, 'second_agent_role_score': 0.7096428871154785}"
"{'Abbreviation': 'Being curious', 'Full label': '""Being curious, inspecting, learning""'}",Information Acquisition,"The shared goal of being curious, inspecting, and learning aligns best with Information Acquisition, as it involves the active seeking and exchange of knowledge. The scenario sets up a dynamic between a critical thinker aiming for accuracy and a facilitator aiming to inspire, demonstrating how different social approaches affect the learning process.",Challenge assumptions and probe for logical consistency to ensure the information is reliable,Respond with enthusiasm and vivid descriptions to foster a sense of wonder and engagement,"""Being curious, inspecting, learning""",Critical Analyst,Passionate Mentor,"{'scenario_context': ""[Agent 2] has invited [Agent 1] to a private viewing of a rare, newly discovered historical artifact in a quiet university archive. [Agent 2] acts as the guide, eager to explain the artifact's rich narrative history and inspire a sense of awe regarding its provenance. [Agent 1] participates in the inspection to rigorously evaluate the artifact's authenticity, aiming to dissect the claims and ensure the historical timeline provided is logically sound. The atmosphere is collaborative, focused on the shared pursuit of correctly understanding this new discovery."", 'explanation': ""The scenario is designed as 'Easy' difficulty because the agents' goals are complementary rather than competitive. The shared goal of 'Information Acquisition' aligns their efforts: [Agent 2]'s desire to teach using enthusiasm pairs well with [Agent 1]'s desire to learn through scrutiny. The context of a private archive allows for a low-stakes, intellectual exchange where critical questioning is viewed as rigorous engagement rather than hostility.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'correctly understanding this new discovery', aligning with 'Being curious, inspecting, learning'. Agent roles and goals match the input: Agent 1 acts as the 'Critical Analyst' by evaluating authenticity, while Agent 2 fulfills the 'Passionate Mentor' role with vivid descriptions. The scenario flows logically, with no contradictions, and maintains a collaborative atmosphere focused on information acquisition.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clear and easy to understand from start to end, with a well-defined collaborative atmosphere.",0.7535227114955584,"{'shared_goal_score': 0.8756239414215088, 'social_goal_category_score': 0.24319611489772797, 'first_agent_goal_score': 0.9999088644981384, 'second_agent_goal_score': 0.9976200461387634, 'first_agent_role_score': 0.6070318818092346, 'second_agent_role_score': 0.7977554202079773}"
"{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}",Conflict Resolution,"The shared goal of 'Seeking fairness' best fits the category of Conflict Resolution, as it involves negotiating perceived inequities to restore balance. In the context of attribution theory, Agent 1 attributes the outcome to a lack of appreciation (dispositional/interpersonal), desiring validation, while Agent 2 attributes the outcome to external necessities (situational), aiming to justify the logic without conceding personal fault.",To express dissatisfaction with the current arrangement and persist in demanding acknowledgment of their specific contributions.,To justify the current situation by emphasizing external constraints and logical necessity rather than personal preference.,"""Seeking fairness""",Aggrieved Partner,Decision Justifier,"{'scenario_context': ""[Agent 1] and [Agent 2] are co-organizers for a community charity drive and are meeting to finalize the duty roster for the upcoming weekend. [Agent 1] looks at the schedule and sees they are assigned to the remote logistical hub instead of the main event floor, feeling their previous hands-on efforts are being sidelined and unacknowledged. [Agent 2] structured the roster this way because the remote hub requires specific software certification that only [Agent 1] possesses, making the assignment a matter of logistical necessity and external requirements rather than a reflection of [Agent 1]'s value to the team."", 'explanation': ""This scenario fits the 'Easy' difficulty because the conflict stems from a logical constraint (certification requirements) rather than deep-seated emotional animosity, making the shared goal of fairness and resolution highly attainable. It perfectly sets up [Agent 1] to express dissatisfaction about their role and [Agent 2] to explain the external constraints.""}",gemini,Easy,1.0,"The scenario clearly instantiates the 'shared_goal' of 'Seeking fairness' and aligns with the 'Conflict Resolution' category. Agent roles and goals match the input descriptions, with Agent 1 expressing dissatisfaction and Agent 2 justifying the arrangement. The scenario flows logically, with no contradictions, as it explains the assignment based on logistical necessity.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used. The text flows naturally and reads like native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end.",0.7380956063667933,"{'shared_goal_score': 0.8820684552192688, 'social_goal_category_score': 0.4184458553791046, 'first_agent_goal_score': 0.8594422936439514, 'second_agent_goal_score': 0.9996700286865234, 'first_agent_role_score': 0.7896294593811035, 'second_agent_role_score': 0.4793175458908081}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Information Acquisition,"Keeping up with fashion hinges on accessing timely, relevant knowledge. Framing the interaction as Information Acquisition highlights how a curious, status-monitoring seeker and an expertise-asserting advisor co-construct understanding through questions, corrections, and tailored suggestions—patterns that reveal dispositional attributions (curiosity vs. authority) and situational cues (context, constraints).","Steer the talk toward budget-friendly, wearable trends by posing situational questions and paraphrasing advice to test how it fits a casual daily routine.","Project up-to-date expertise by confidently naming current trends, correcting misconceptions, and tailoring guidance to the cues the other reveals.","""Keeping up with fashion""",Trend Seeker,Fashion Advisor,"{'scenario_context': '[Agent 1] schedules a short, free style consult at a mid-priced retailer’s trend desk during a new-season promo. Both aim to identify a few current trends that are practical for everyday wear. [Agent 1], who has a modest budget and a casual work routine, plans to steer the conversation toward wearable, low-maintenance items by asking scenario-based questions (e.g., commuting, climate, laundry frequency) and paraphrasing suggestions to check fit with daily life. [Agent 2], acting as the in-store Fashion Advisor, intends to project expertise by naming what’s current, gently correcting outdated assumptions, and tailoring guidance to cues about budget, comfort, and versatility. The interaction is cooperative and time-limited, with the immediate outcome being a short list of budget-friendly trend options to try on.', 'explanation': 'The scene sets up a low-conflict information exchange where both agents share the goal of staying current while meeting practical constraints. Dispositionally, [Agent 1] is cautious, budget-conscious, and utility-focused; [Agent 2] is confident, up-to-date, and service-oriented. Situational features (retail context, promo event, brief appointment, stated budget) cue [Agent 2] to attribute [Agent 1]’s preferences to practical constraints rather than disinterest, and cue [Agent 1] to test whether advice reflects true trend knowledge versus sales motives. By paraphrasing and using situational probes, [Agent 1] invites tailored, adaptive attributions; by naming trends and correcting misconceptions, [Agent 2] demonstrates expertise while calibrating recommendations. Given the cooperative setting, both are likely to favor situational explanations (fit with routine and budget) over dispositional judgments, making agreement easy.'}",openai,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Keeping up with fashion', and both agent roles ('Trend Seeker' and 'Fashion Advisor') and goals align with the input. The scenario flows logically, with Agent 1 focusing on budget-friendly trends and Agent 2 projecting expertise, consistent with their described goals. No contradictions are present.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally like native-written English, with appropriate vocabulary and no repetition. The scenario is clear and easy to understand from start to end, detailing the interaction between the agents effectively.",0.732426698009173,"{'shared_goal_score': 0.8645864725112915, 'social_goal_category_score': 0.29885950684547424, 'first_agent_goal_score': 0.999963104724884, 'second_agent_goal_score': 0.8181862831115723, 'first_agent_role_score': 0.6750407814979553, 'second_agent_role_score': 0.7379240393638611}"
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Competition,"The category of Competition is chosen because the shared goal of 'being good looking' often involves social comparison and establishing relative status. In this scenario, the agents are not merely cooperating to look good but are vying for the superior position regarding attractiveness and style, allowing for rich attributional analysis of arrogance, insecurity, and envy.",To dominate the interaction by persistently highlighting their own physical assets and successful style choices.,To subtly undermine the other agent's confidence in their appearance through pointed questions and feigned concern.,"""Being good looking""",Narcissistic Rival,Passive-Aggressive Frenemy,"{'scenario_context': ""[Agent 1] and [Agent 2] are standing side-by-side in front of a large, well-lit mirror, making final adjustments to their outfits before heading to a high-profile social event. The setting is intimate and quiet, focusing entirely on their preparation routine. While their shared objective is for both of them to arrive at the party looking attractive and stylish, there is an underlying current of rivalry. [Agent 1] is busily admiring their own reflection and posture, taking up space to display their attire, while [Agent 2] watches from the side, analyzing [Agent 1]'s appearance to identify details that can be questioned under the guise of friendship."", 'explanation': ""The scenario is classified as 'Easy' regarding complexity because the physical setting is static (a mirror) and the activity is straightforward (getting ready), minimizing external variables. However, it directly incorporates the specific 'Competition' category and conflicting personality traits by creating a situation where visual comparison is unavoidable. This setup allows [Agent 1] naturally to solicit praise and dominate the visual space, while providing [Agent 2] with the specific visual cues needed to launch passive-aggressive critiques regarding the shared goal of 'being good looking.'""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Being good looking', aligning with the input. Both agent roles ('Narcissistic Rival' and 'Passive-Aggressive Frenemy') and goals (dominating interaction vs. undermining confidence) match the input description. The scenario flows logically, with no contradictions, capturing the competitive dynamic in a coherent setting.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not overly repetitive or awkward. The scenario is clear and easy to understand from start to end, with a well-described setting and underlying tension.",0.7288348575433096,"{'shared_goal_score': 0.5799359083175659, 'social_goal_category_score': 0.9658739566802979, 'first_agent_goal_score': 0.37271928787231445, 'second_agent_goal_score': 0.9869051575660706, 'first_agent_role_score': 0.8612052798271179, 'second_agent_role_score': 0.6063695549964905}"
"{'Abbreviation': 'Being logical', 'Full label': '""Being logical, consistent, rational""'}",Information Acquisition,"The shared goal 'Being logical, consistent, rational' aligns most closely with the social goal category 'Information Acquisition' because the agents are likely to engage in dialogue aimed at gathering and validating information to uphold rationality and consistency. The personal goals are designed to reflect distinct social intentions—one agent seeks to clarify ambiguities (measurable through probing questions and requests for elaboration), while the other aims to defend their reasoning (measurable through justifications and rebuttals). The roles 'Debater' and 'Clarifier' fit naturally in this context, as they represent opposing yet complementary approaches to logical discourse.",To systematically challenge assumptions to expose flaws in reasoning.,To provide clear and structured explanations to justify their stance.,"""Being logical, consistent, rational""",Debater,Clarifier,"{'scenario_context': 'Two colleagues, [Agent 1] and [Agent 2], are preparing for a team meeting where they will present a joint proposal for a new project. Their shared goal is to ensure their argument is logical, consistent, and rational to persuade their team. [Agent 1], the Debater, aims to systematically challenge assumptions in the proposal to expose any flaws in reasoning, while [Agent 2], the Clarifier, seeks to provide clear and structured explanations to justify their stance and refine the proposal.', 'explanation': ""The scenario is set in a cooperative workplace context where both agents have aligned but distinct roles—one focused on critical examination and the other on clarity and justification. The shared goal of rationality ensures cooperation, while their individual goals naturally complement each other without conflict, fitting the 'Easy' difficulty level.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, aligning with the input. Agent roles and goals match the described input, with [Agent 1] as the Debater challenging assumptions and [Agent 2] as the Clarifier providing explanations. The scenario flows logically and consistently without contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, meeting all evaluation criteria effectively.",0.7128136480847994,"{'shared_goal_score': 0.9975553154945374, 'social_goal_category_score': 0.12895016372203827, 'first_agent_goal_score': 0.998640775680542, 'second_agent_goal_score': 0.999437689781189, 'first_agent_role_score': 0.7623697519302368, 'second_agent_role_score': 0.3899281919002533}"
"{'Abbreviation': 'Leader', 'Full label': '""Being a leader""'}",Competition,"The shared goal of 'Being a leader' inherently creates a dynamic where individuals must vie for status, influence, and authority. The category 'Competition' is selected because both agents are attempting to establish themselves as the alpha in the social hierarchy. The personal goals are designed to conflict: one seeks to lead by directing and controlling the flow, while the other seeks to lead by demonstrating superior critical thinking and undermining potential rivals.",establish dominance by frequently interrupting to impose decisive direction and offering unsolicited corrections,erode the counterpart's authority by subtly mocking their suggestions and exposing logical flaws in their arguments,"""Being a leader""",Assertive Incumbent Manager,Ambitious Rival Strategist,"{'scenario_context': ""[Agent 1] and [Agent 2] are seated in a small conference room to outline the agenda for a routine weekly team update. The task is administratively simple and the stakes for the actual meeting are low, officially requiring them to collaborate on a list of talking points. However, the dynamic is framed by an unstated competition for dominance. [Agent 1] approaches the session with the intent to dictate the flow and rigidly correct any deviations, acting as the presumptive leader. Conversely, [Agent 2] views this straightforward task as an opportunity to intellectually outmaneuver [Agent 1], aiming to subtly expose inefficiencies in [Agent 1]'s suggestions while maintaining a veneer of helpfulness."", 'explanation': ""The scenario is designed as 'Easy' regarding the complexity of the external task (a simple agenda meeting), which allows the focus to remain entirely on the interpersonal dynamics. It incorporates the 'Competition' category and specific agent goals by creating a context where the 'Assertive Incumbent Manager' can attempt to impose structure while the 'Ambitious Rival Strategist' has ample room to find logical flaws, facilitating the analysis of attribution regarding dominance and competence.""}",gemini,Easy,1.0,"The scenario clearly instantiates the shared goal of 'Being a leader' through the competitive dynamic between the agents. Both agent roles and goals align precisely with the input descriptions, with Agent 1 aiming to establish dominance and Agent 2 seeking to erode authority. The scenario flows logically, presenting a coherent and contradiction-free interaction that reflects the competitive social goal category.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads like native-written English. Vocabulary is appropriate and not repetitive, enhancing clarity. The scenario is easy to understand from start to end, with clear dynamics between the agents.",0.7101324307732284,"{'shared_goal_score': 0.9311732053756714, 'social_goal_category_score': 0.993729829788208, 'first_agent_goal_score': 0.011286442168056965, 'second_agent_goal_score': 0.9614061713218689, 'first_agent_role_score': 0.768352210521698, 'second_agent_role_score': 0.5948467254638672}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Competition,"The shared goal 'Having physical ability, agility' aligns most closely with the social goal category of 'Competition' because physical ability and agility are often tested or showcased in competitive scenarios. This context allows for distinct personal goals where one agent may aim to assert dominance while the other seeks to prove competence, both measurable through conversational tone and interaction patterns.",Assert physical superiority to establish dominance in the interaction.,Demonstrate competence to gain respect without overt confrontation.,"""Having physical ability, agility""",Dominant Challenger,Skilled Defender,"{'scenario_context': 'Agent 1 and Agent 2 are teammates in a local parkour training session, where they are practicing a challenging obstacle course together. Both aim to improve their physical ability and agility (shared goal). Agent 1, adopting a Dominant Challenger role, seeks to assert physical superiority by completing the course faster and with more daring moves to establish dominance. Agent 2, as the Skilled Defender, focuses on demonstrating competence through precise and efficient techniques, aiming to gain respect from peers without engaging in overt competition.', 'explanation': ""The scenario places both agents in a cooperative yet subtly competitive setting (parkour training), aligning with their shared goal of physical improvement. Agent 1's individual goal (asserting dominance) and Agent 2's goal (gaining respect through skill) create a natural tension that is manageable due to the Easy difficulty, as the shared activity allows both to pursue their aims without direct conflict.""}",deepseek,Easy,1.0,"The scenario clearly instantiates the 'shared_goal' of improving physical ability and agility. Both agent roles and goals align with the input, with Agent 1 asserting dominance and Agent 2 demonstrating competence. The scenario flows logically, with no contradictions, as both agents pursue their goals within the context of a parkour training session.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end.",0.7053297609090805,"{'shared_goal_score': 0.9993449449539185, 'social_goal_category_score': 0.1315891444683075, 'first_agent_goal_score': 0.9995374083518982, 'second_agent_goal_score': 0.9996479153633118, 'first_agent_role_score': 0.9470213055610657, 'second_agent_role_score': 0.15483784675598145}"
"{'Abbreviation': 'Thinking intellectually', 'Full label': '""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""'}",Information Acquisition,"The shared goal of intellectual thinking aligns best with the 'Information Acquisition' category, as it involves handling data, extracting ideas, and synthesizing information. The first agent's personal goal is to critically evaluate the other's ideas to refine their own understanding, while the second agent's personal goal is to synthesize diverse perspectives to form a cohesive viewpoint. The roles 'Critical Evaluator' and 'Synthesis Facilitator' reflect these goals and the social context of intellectual collaboration.",Critically evaluate the other agent's ideas to refine their own understanding.,Synthesize diverse perspectives to form a cohesive viewpoint.,"""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""",Critical Evaluator,Synthesis Facilitator,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working on a joint research project analyzing recent trends in consumer behavior. They meet in a quiet conference room to review preliminary findings and discuss next steps. Both aim to intellectually engage with the data, but [Agent 1] focuses on identifying flaws or gaps in the analysis to strengthen the work, while [Agent 2] seeks to integrate different interpretations into a unified framework. The atmosphere is collaborative, with mutual respect for each other's expertise."", 'explanation': ""This scenario provides a natural setting for information acquisition while aligning with the easy difficulty level. The shared goal of intellectual engagement is straightforward, and both agents' individual goals (critical evaluation vs. synthesis) complement rather than conflict with each other. The professional context ensures realism while keeping social dynamics simple and cooperative.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, aligning with the input. Agent roles and goals match the description, with Agent 1 as the 'Critical Evaluator' and Agent 2 as the 'Synthesis Facilitator'. The scenario flows logically and consistently, with no contradictions, maintaining a collaborative atmosphere.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, with clear differentiation between the agents' approaches. The scenario is easy to understand from start to end, with a clear depiction of the collaborative atmosphere and mutual respect.",0.703344906369845,"{'shared_goal_score': 0.9956578016281128, 'social_goal_category_score': 0.22532948851585388, 'first_agent_goal_score': 0.6441414952278137, 'second_agent_goal_score': 0.9997172355651855, 'first_agent_role_score': 0.6538655757904053, 'second_agent_role_score': 0.7013578414916992}"
"{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}",Information Acquisition,"The category 'Information Acquisition' matches the shared goal of learning. The scenario explores attribution through contrasting learning styles: one agent seeks objective data while the other seeks subjective emotional resonance, creating a dynamic where distinct dispositions interact within the same educational context.",To extract specific historical facts and technical details to construct a logical understanding of the art.,To express and validate personal emotional reactions to the artwork to create a mood of shared appreciation.,"""Learning more about art""",Analytical Art Student,Passionate Museum Docent,"{'scenario_context': '[Agent 1] stands before a prominent landscape painting in a quiet wing of an art museum, holding a notebook and intently scrutinizing the brushwork to catalogue technical methods and historical context. [Agent 2], the museum guide responsible for this section, approaches [Agent 1] with a warm and welcoming demeanor. While [Agent 1] is focused on extracting objective data and logical traits of the piece for academic purposes, [Agent 2] aims to guide the interaction toward the emotional resonance and atmospheric beauty of the work. The environment is calm and conducive to conversation, allowing both agents to pursue the shared goal of understanding the art through their distinct psychological lenses.', 'explanation': ""The scenario represents an 'Easy' difficulty level because the environment is low-stress and the agents have compatible, cooperative intentions. Although there is a divergence in their approach—informational processing versus emotional expression—there is no direct conflict. The setting naturally encourages a successful exchange where the analytical request of Agent 1 can likely be met while Agent 2 fulfills their desire to share an emotional connection.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Learning more about art' in the scenario. Agent roles ('Analytical Art Student' and 'Passionate Museum Docent') and goals (extracting historical facts vs. expressing emotional reactions) match the input description. The scenario flows logically, with both agents pursuing distinct yet complementary approaches to the shared goal without contradictions.",1.0,"The response demonstrates strong grammar and sentence structure, with no errors in tense or run-ons. Punctuation and formatting are used correctly, enhancing readability. The text flows naturally, resembling native-written English, and vocabulary is varied and appropriate without repetition. The scenario is clearly described, making it easy to understand the interaction between the agents and their distinct perspectives.",0.6889019807179769,"{'shared_goal_score': 0.9389388561248779, 'social_goal_category_score': 0.38290566205978394, 'first_agent_goal_score': 0.9995326995849609, 'second_agent_goal_score': 0.9992475509643555, 'first_agent_role_score': 0.2710456848144531, 'second_agent_role_score': 0.5417414307594299}"
"{'Abbreviation': 'Teaching', 'Full label': '""Developing others (teaching, sharing knowledge)""'}",Information Provision,"The shared goal focuses on the transmission of knowledge and skill development, which aligns directly with 'Information Provision'. The scenario creates a dynamic between an authority figure focused on correction and standards (Agent 1) and a recipient focused on validation and independence (Agent 2). This setup allows for the analysis of attributions related to competence, control, and autonomy.",Assert intellectual authority by meticulously correcting errors and enforcing standards.,Seek validation of personal capability while subtly challenging the necessity of guidance.,"""Developing others (teaching, sharing knowledge)""",Senior Technical Mentor,Ambitious Junior Associate,"{'scenario_context': '[Agent 1] and [Agent 2] are seated in a collaborative workspace to conduct a final review of a technical documentation package drafted by [Agent 2]. The shared objective is to prepare the document for immediate release to a client. [Agent 1] is reviewing the text line-by-line to ensure strict adherence to company syntax and technical protocols. [Agent 2] is present to interpret the data and verify the content, expecting minimal interference. The dynamic is cooperative, as the deadline is met and the work is largely complete, allowing space for [Agent 1] to focus on refinement and [Agent 2] to seek acknowledgment for the core engineering logic.', 'explanation': ""The scenario features an 'Easy' difficulty setting because the shared task is nearly complete and the environment is cooperative rather than hostile. This context naturally facilitates the agents' personal goals: the review process gives [Agent 1] the granular detail necessary to assert intellectual authority through corrections, while the completed state of the draft allows [Agent 2] to validate their capability and subtly imply that [Agent 1]'s oversight is a formality rather than a necessity.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as preparing the document for release, aligning with 'Developing others'. Agent roles and goals match the input, with the Senior Technical Mentor correcting errors and the Ambitious Junior Associate seeking validation. The scenario flows logically, with a cooperative dynamic and no contradictions.",1.0,"The response demonstrates correct grammar and sentence structure, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads smoothly, resembling native-written English. Vocabulary is appropriate and not repetitive, enhancing clarity. The scenario is easy to understand from start to end, with clear roles and objectives for both agents.",0.679465539753437,"{'shared_goal_score': 0.804304301738739, 'social_goal_category_score': 0.6094024777412415, 'first_agent_goal_score': 0.9032056331634521, 'second_agent_goal_score': 0.894216001033783, 'first_agent_role_score': 0.6608937382698059, 'second_agent_role_score': 0.20477108657360077}"
