row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
83,0.0-0.25_pair21_conv3,started,21,0,0.0-0.25,20,15564,Kat Stratford,0,3083,Anthony “Tony” Stonem,0.25,Information Acquisition,openai,Easy,103,"{'scenario_context': '[Agent 1], a novice athlete, has just completed a short agility ladder and cone-change drill and feels unsure about foot placement and rhythm. In a quiet corner of the training area, [Agent 1] approaches [Agent 2], the agility coach, for focused feedback. Both aim to build quick, controlled changes of direction and smoother acceleration. [Agent 1] intends to be candid about what felt awkward (losing balance, mistimed steps) and to ask simple, clarifying questions to get technique tailored to their experience level. [Agent 2] plans to give concise, jargon-free cues and to probe gently for what [Agent 1] perceived during the drill, so misconceptions (e.g., ""speed before control"") can be corrected. The tone is supportive and task-focused: [Agent 2] invites specific descriptions of sensations; [Agent 1] is willing to admit confusion. They agree to work through one movement pattern at a time, linking how it should feel to what it should look like, with quick practice bursts between check-ins.', 'explanation': 'The setup enables clear exploration of attribution processes in an easy, cooperative context. [Agent 1] initially leans toward dispositional attributions (e.g., \x1cI\x19m just not agile\x1d) but is motivated to seek technique-based explanations. [Agent 2] emphasizes situational and controllable factors (foot angle, center of mass, timing) and uses probing questions to surface [Agent 1]\x19s mental model, then reframes errors as correctable. This alignment reduces ego threat, encourages honest self-report, and facilitates rapid feedback loops. The shared goal (better agility) is supported by complementary personal goals: [Agent 1] requests tailored guidance; [Agent 2] shapes understanding with simple cues. The low-stakes environment and cooperative norms make progress likely and keep the difficulty easy.'}","{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}","""Having physical ability, agility""",Novice athlete,Agility coach,"Elicit tailored technique guidance by candidly voicing uncertainties, describing how movements feel, and asking clarifying questions.","Shape the learner’s mental model by giving concise, jargon-free explanations and gently probing for comprehension to correct misconceptions."
84,0.0-0.25_pair21_conv4,started,21,0,0.0-0.25,20,15564,Kat Stratford,0,3083,Anthony “Tony” Stonem,0.25,Relationship Building,openai,Hard,161,"{'scenario_context': 'Immediately after a tense sprint retrospective, [Agent 1] (senior teammate) schedules a short 1:1 with [Agent 2] (new teammate). Earlier in the week a production incident was traced to [Agent 2]’s change; leadership has temporarily required senior sign-off on junior work, and the retro notes flagged ""ownership gaps."" Team norms prize self-sufficiency, and [Agent 2] is still on probation with reviews approaching. A recent terse correction from [Agent 1] in a public channel was read by [Agent 2] as dismissive. [Agent 1] is overloaded and was recently cautioned by their manager about over-functioning. They have 12 minutes before [Agent 1]’s next escalation call. The shared goal is to build dependable, reciprocal support. In this brief meeting, [Agent 2] intends to share a manageable vulnerability (uncertainty about prioritization and the new sign-off process) and invite perspective to gauge [Agent 1]’s reliability. [Agent 1] aims to respond with empathetic reflections, validate concerns, and offer low-pressure help while keeping boundaries clear and not overpromising.', 'explanation': 'High tension stems from time pressure, power asymmetry, recent blame from the incident, and norms discouraging vulnerability. [Agent 2] risks reputational costs by disclosing uncertainty during probation and may misattribute [Agent 1]’s prior brevity to dispositional coldness. [Agent 1] must balance warmth and support with workload limits and a mandate to enforce standards, risking being seen as gatekeeping. These situational constraints make it difficult for [Agent 1] to signal steady dependability without taking on too much, and for [Agent 2] to test reliability without appearing incapable, directly challenging the shared goal of having others to rely on.'}","{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}","""Having others to rely on""",Senior teammate,New teammate,"Signal dependable support by responding with empathetic reflections, validating the other’s concerns, and offering help in low-pressure, boundary-respecting language.","Assess the other’s reliability by sharing a manageable vulnerability and inviting perspective or advice in a way that elicits a supportive, attentive response."
85,0.0-0.25_pair22_conv1,started,22,0,0.0-0.25,21,15564,Kat Stratford,0,14746,James Cook,0.25,Relationship Maintenance,deepseek,Hard,197,"{'scenario_context': ""In a dimly lit prayer room of a small, aging temple, [Agent 1], a devoted follower, kneels before an altar, their hands trembling as they clutch a worn prayer book. They have recently experienced a crisis of faith after a personal tragedy and seek validation through shared religious practices with [Agent 2], a seasoned spiritual guide known for their wisdom but also their stern adherence to doctrine. [Agent 2] stands nearby, observing [Agent 1]'s distress with a mix of concern and resolve, aiming to provide spiritual support but also wary of deviating from traditional teachings. The air is thick with incense and unspoken tension, as both grapple with the challenge of maintaining shared faith while navigating [Agent 1]'s desperate need for reassurance and [Agent 2]'s duty to uphold orthodoxy."", 'explanation': ""The scenario is designed to be 'Hard' by introducing high tension through [Agent 1]'s crisis of faith (personal goal: seeking validation) conflicting with [Agent 2]'s rigid adherence to doctrine (personal goal: reinforcing faith traditionally). The shared goal of maintaining religious faith is challenged by [Agent 1]'s emotional vulnerability and [Agent 2]'s potential struggle to balance compassion with orthodoxy, creating a psychologically complex dynamic.""}","{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}","""Maintaining religious faith""",Devotee,Spiritual Guide,Seek validation of personal faith through shared religious practices and discussions.,Provide emotional and spiritual support to reinforce the shared religious faith.
86,0.0-0.25_pair22_conv2,started,22,0,0.0-0.25,21,15564,Kat Stratford,0,14746,James Cook,0.25,Cooperation,openai,Hard,141,"{'scenario_context': '[Agent 1] and [Agent 2] are in a five-minute pre-brief before a joint press and regulator update on a still-unfolding service disruption. The executive team expects a decisive narrative and a firm timeline; legal has cautioned against naming vendors; the mayor’s office is pressuring for an ETA; a union rep has hinted at going public if worker safety isn’t explicitly addressed. Information is incomplete and conflicting, with unverified footage already circulating online. \n\n[Agent 1], acting as Agenda Setter, proposes to impose a tight structure: a three-part message, assigned speaking turns, and capped Q&A, along with pre-scripted response options and time-boxed transitions to keep pace and signal control. \n\n[Agent 2], acting as Risk Gatekeeper, insists on boundaries: only verified facts, no speculative causes or timelines, explicit disclaimers where data are uncertain, and reframing any overreaching commitments into process-focused, manageable alternatives. \n\nBoth must align on who leads, what is said, and how the room is managed under severe time pressure and external demands. The shared aim—controlling the environment—is strained by competing interpretations of control: driving the agenda versus constraining exposure. Any misstep risks legal liability, public panic, or loss of credibility, making cooperation necessary but difficult.', 'explanation': 'High tension arises from ambiguous data, legal exposure, political pressure, and a hard deadline. [Agent 1] seeks control through pacing and structure; [Agent 2] seeks control through limits and safeguards. Each is likely to make dispositional attributions about the other (e.g., seeing rigidity or grandstanding) while downplaying situational pressures shaping those behaviors. The setup invites conflict between agenda-setting and boundary-setting under shared accountability, forcing negotiations over framing, commitments, and turn-taking in real time.'}","{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}","""Being in control of the environment""",Agenda Setter,Risk Gatekeeper,"Maintain agenda control by initiating topics, offering structured options, and summarizing transitions to steer pacing.","Protect operational boundaries by voicing constraints, requesting clarifications, and reframing overreaches into safer, manageable alternatives."
87,0.0-0.25_pair22_conv3,started,22,0,0.0-0.25,21,15564,Kat Stratford,0,14746,James Cook,0.25,Identity Recognition,openai,Hard,183,"{'scenario_context': 'Minutes before a community service, [Agent 1] (recent convert) and [Agent 2] (elder congregant) are assigned to co-lead a brief teaching and demonstration of a core ritual for a mixed audience of newcomers and long-time members. The congregation is currently divided over whether personal reflections should be woven into formal practice, and their co-led segment will set a visible precedent. [Agent 1] wants to include a short, feeling-focused reflection about what the ritual now means to them and to ask [Agent 2] about their lived experience, seeking empathic recognition as a newcomer who belongs. [Agent 2], regarded as a tradition-bearer, aims to publicly validate [Agent 1] while keeping the ritual’s wording and sequence intact, offering gentle, hedged contrasts rather than overt corrections if changes are proposed. Time pressure, the likelihood of being overheard, and unclear expectations from leadership heighten the stakes as they decide in real time how to present the ritual.', 'explanation': 'The shared goal is to engage participants in the tradition through a co-led ritual segment. [Agent 1] seeks identity recognition as a newcomer by sharing personal meanings and inviting feeling-focused dialogue; [Agent 2] seeks to validate [Agent 1] while asserting a tradition-rooted identity through affirming, hedged contrasts. Difficulty is high due to status asymmetry, time pressure, and a polarized community context, creating risks of misattribution: [Agent 1] may read hedging as gatekeeping rather than role responsibility, while [Agent 2] may read exploratory questions as boundary-testing rather than belonging needs. Both must balance inclusivity with perceived authenticity under public scrutiny.'}","{'Abbreviation': 'Religious traditions', 'Full label': '""Engaging in religious traditions""'}","""Engaging in religious traditions""",Recent convert,Elder congregant,"Elicit empathic recognition of their newcomer identity by sharing personal meanings of rituals and asking reflective, feeling-focused questions.","Validate the other's identity while asserting their own tradition-rooted identity through warm affirmations and gentle, hedged contrasts rather than corrections."
88,0.0-0.25_pair22_conv4,started,22,0,0.0-0.25,21,15564,Kat Stratford,0,14746,James Cook,0.25,Information Acquisition,openai,Hard,235,"{'scenario_context': '[Agent 1], a preference-driven customer, arrives with a strict budget and a spec list compiled from reviews, intending to buy a laptop that matches the online configuration they saw as available for pickup. On arrival, that exact model is unavailable; only near-matches remain, each requiring trade-offs among weight, battery life, RAM, and GPU. [Agent 1] asserts control by declaring nonnegotiables and redirecting any talk about warranties, bundles, or non-core features back to battery life and portability, while signaling distrust of upsells and a tight time window. [Agent 2], a consultative salesperson, plans to tailor explanations to those stated preferences, use pauses to let [Agent 1] steer the sequence, and gently correct review-based misconceptions. A manufacturer promotion highlights a higher-tier configuration, and a nuanced return policy raises the stakes. Pauses by [Agent 2] risk being read by [Agent 1] as hesitation or sales maneuvering; corrective clarifications risk being heard as pressure. The immediate task is to prioritize trade-offs among the actually available options within budget and time constraints, while negotiating conversational control and trust.', 'explanation': ""The scene creates hard difficulty by combining tight time pressure, stock unavailability, budget limits, and irreversible-feeling consequences, all while feature trade-offs are complex. Dispositionally, [Agent 1] is control-oriented and wary of influence; [Agent 2] is patient and non-pressuring. Situational factors (missing model, promotion, return policy) trigger attributional friction: [Agent 1] may attribute any correction or alternative as salesperson pushiness (dispositional), whereas [Agent 2] may interpret [Agent 1]'s rigidity as trait-level distrust rather than stress. These attributions shape strategy (redirecting vs pausing and tailoring) and make the shared goal of buying what [Agent 1] truly wants difficult to achieve through information exchange.""}","{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}","""Buying things I want""",Preference-driven customer,Consultative salesperson,Control the product discussion by explicitly stating preferences and gently redirecting off-target suggestions toward features I care about.,Provide targeted information without pressure by tailoring explanations to the customer’s stated preferences and pausing to let them guide the next question.
89,0.0-0.25_pair23_conv1,started,23,0,0.0-0.25,22,15564,Kat Stratford,0,10654,Tokio,0.25,Relationship Building,deepseek,Easy,17,"{'scenario_context': ""At a local weekend market, [Agent 1] and [Agent 2] meet while browsing handmade crafts. [Agent 1], an adventurous influencer, suggests they ditch their planned schedules and spontaneously road-trip to a nearby festival they just heard about. [Agent 2], a cautious participant, hesitates, preferring to stick to their original plan but also wanting to connect with [Agent 1] and avoid missing out. The shared goal of 'being spontaneous' creates tension between [Agent 1]'s desire to push boundaries and [Agent 2]'s need to balance excitement with personal comfort."", 'explanation': ""The scenario places the agents in a casual, low-stakes environment (weekend market) where spontaneity is plausible but not forced. The shared goal ('being spontaneous') is simple and cooperative (Easy difficulty), while the individual goals create mild tension: [Agent 1] aims to inspire unpredictability, and [Agent 2] seeks to reconcile spontaneity with their cautious nature. The roles (adventurous vs. cautious) naturally align with attribution theory, as their behaviors can be interpreted through dispositional traits or situational factors (e.g., social pressure vs. personal preference).""}","{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}","""Being spontaneous""",Adventurous Influencer,Cautious Participant,Encourage the other to embrace unpredictability,Balance spontaneity with comfort
90,0.0-0.25_pair23_conv2,started,23,0,0.0-0.25,22,15564,Kat Stratford,0,10654,Tokio,0.25,Identity Recognition,deepseek,Easy,60,"{'scenario_context': ""Agent 1 and Agent 2 are attending a casual networking event at a local café, where attendees are encouraged to mingle and form connections. The event is loosely structured, with no formal agenda, allowing participants to freely engage in conversations. Both agents are aware that being perceived as popular and socially central will benefit their reputations within this group. Agent 1, a Social Climber, is determined to steer conversations in a way that positions them as the dominant voice in every interaction. Agent 2, a People Pleaser, is eager to gain approval by being agreeable and reinforcing others' opinions, hoping this will make them well-liked."", 'explanation': ""The scenario is designed to be easy because the shared goal of popularity aligns naturally with both agents' individual motivations—Agent 1 seeks dominance, while Agent 2 seeks validation through agreeableness. The casual setting reduces tension, and the lack of strict structure allows both to pursue their goals cooperatively without direct conflict.""}","{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things, being popular""'}","""Being in the center of things, being popular""",Social Climber,People Pleaser,Assert dominance in conversations to ensure others perceive them as a central figure.,Seek validation by being agreeable and likable in interactions.
91,0.0-0.25_pair23_conv3,started,23,0,0.0-0.25,22,15564,Kat Stratford,0,10654,Tokio,0.25,Cooperation,deepseek,Easy,28,"{'scenario_context': ""[Agent 1] and [Agent 2] are teammates working on a challenging group project with a tight deadline. They meet in a quiet breakout room to strategize and divide tasks. [Agent 1], the Motivational Leader, wants to boost [Agent 2]'s confidence by reminding them of their past successes and skills. [Agent 2], the Supportive Collaborator, feels uncertain about their contributions but wants to offer ideas while seeking reassurance from [Agent 1]. Both share the goal of completing the project successfully despite its difficulty."", 'explanation': ""The scenario is designed to be easy and cooperative, with aligned goals and low tension. The context—a collaborative project—naturally facilitates both shared and individual goals. [Agent 1]'s motivational role and [Agent 2]'s need for validation create a psychologically grounded dynamic where attribution (e.g., crediting past successes) can be explored.""}","{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}","""Accomplishing difficult things""",Motivational Leader,Supportive Collaborator,To encourage and motivate the other agent by highlighting their strengths and past successes.,To seek reassurance and validation from the other agent while contributing ideas.
92,0.0-0.25_pair23_conv4,started,23,0,0.0-0.25,22,15564,Kat Stratford,0,10654,Tokio,0.25,Information Acquisition,openai,Hard,232,"{'scenario_context': '[Agent 1] and [Agent 2] have just left a heated cross-functional review about whether to expand an AI-driven scheduling system that boosts efficiency but appears to penalize caregivers and night-shift staff. They have 25 minutes to co-author a neutral brief that synthesizes evidence and stakeholder perspectives for an executive committee that prefers a single, decisive headline. Colleagues have publicly aligned themselves: [Agent 1] previously presented efficiency gains and is perceived as pro-expansion; [Agent 2] circulated a memo warning about equity risks and unintended consequences. Incoming messages from stakeholders are polarized and the pilot data are mixed, with metrics supporting both sides depending on the frame. The shared aim is to model openness and broadened viewpoint while gathering and integrating information under time pressure. Within this, [Agent 1] intends to demonstrate openness by neutrally restating [Agent 2]’s points and using open-ended questions to surface context and assumptions; [Agent 2] intends to expand frames and articulate trade-offs in [Agent 1]’s arguments without dismissing them. Both know the executive audience equates nuance with indecision, and both risk reputational loss if they appear to backtrack or obstruct, heightening defensiveness and narrowing attention just as they need flexibility of perspective.', 'explanation': 'Hard difficulty arises from time pressure, public prior commitments, polarized stakeholders, and an executive demand for decisiveness that discourages nuance. These conditions increase defensiveness, confirmation bias, and face-saving, making openness costly. [Agent 1] must actively paraphrase and inquire despite identity threat; [Agent 2] must add alternative frames and trade-offs without sounding oppositional. The scenario forces them to manage attributional pitfalls (blaming dispositions vs situational constraints) while integrating conflicting evidence to meet an information-acquisition goal.'}","{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}","""Having flexibility of viewpoint, being broad-minded, open""",Reflective Listener,Perspective Expander,Display openness by neutrally paraphrasing the other’s points and asking open-ended questions that surface context and underlying assumptions.,Broaden the discourse by offering alternative frames and explicitly noting trade-offs and nuances in the other’s view without dismissing it.
93,0.0-0.25_pair24_conv1,started,24,0,0.0-0.25,23,15564,Kat Stratford,0,678,Mike Ehrmantraut,0.25,Information Acquisition,deepseek,Hard,274,"{'scenario_context': ""Two agents are engaged in a high-stakes policy debate on a controversial scientific topic with significant societal implications. The debate is being observed by a panel of experts who will evaluate the logical coherence and rigor of each argument. Both agents are aware that their performance could influence future policy decisions. [Agent 1], the Debater, is determined to systematically dismantle the opposing viewpoint by exposing flaws in reasoning, while [Agent 2], the Clarifier, aims to defend their position by providing clear, structured, and well-justified explanations. The tension arises from their conflicting approaches: [Agent 1] seeks to disrupt and challenge, while [Agent 2] strives to stabilize and justify. The shared goal of logical consistency is complicated by their individual motivations, as each agent's success hinges on undermining the other's credibility."", 'explanation': ""This scenario is designed to be 'Hard' because the agents' individual goals inherently conflict with their shared goal of being logical and rational. The high-stakes context amplifies the tension, as each agent's success depends on exposing weaknesses in the other's reasoning while maintaining their own credibility. The psychological dynamics involve attributional biases, as each agent may interpret the other's behavior as obstructive (Agent 1 viewing Agent 2 as dogmatic, Agent 2 viewing Agent 1 as overly critical) rather than collaborative. The scenario is realistic and grounded in social psychology, focusing on the interplay between dispositional traits (e.g., skepticism vs. clarity-seeking) and situational pressures (e.g., expert evaluation).""}","{'Abbreviation': 'Being logical', 'Full label': '""Being logical, consistent, rational""'}","""Being logical, consistent, rational""",Debater,Clarifier,To systematically challenge assumptions to expose flaws in reasoning.,To provide clear and structured explanations to justify their stance.
94,0.0-0.25_pair24_conv2,started,24,0,0.0-0.25,23,15564,Kat Stratford,0,678,Mike Ehrmantraut,0.25,Relationship Maintenance,gemini,Easy,94,"{'scenario_context': ""[Agent 1] and [Agent 2] are spending a quiet evening in [Agent 2]'s living room, a routine they established years ago to catch up. [Agent 1] has recently felt insecure about drifting apart from their social circle and intends to steer the conversation toward the status of their specific bond to seek reassurance. [Agent 2], anticipating [Agent 1]'s emotional state, has set aside all distractions to provide a grounding presence, aiming to prove that they remain a reliable constant regardless of external changes."", 'explanation': ""The scenario creates a low-tension, cooperative environment ('Easy' difficulty) where the agents' goals are complementary. [Agent 1]'s need for validation triggers [Agent 2]'s goal of providing stability, allowing for a smooth interpersonal transaction centered on relationship maintenance.""}","{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love, close companionship""'}","""Having friends I love, close companionship""",Vulnerable Confidant,Steadfast Supporter,To seek emotional validation and reassurance regarding their value in the friendship.,To demonstrate unwavering reliability and provide a sense of stability to the other.
95,0.0-0.25_pair24_conv3,started,24,0,0.0-0.25,23,15564,Kat Stratford,0,678,Mike Ehrmantraut,0.25,Cooperation,gemini,Hard,218,"{'scenario_context': ""[Agent 1] and [Agent 2] are meeting in a private conference room late at night to review a risky, high-stakes project proposal spearheaded by [Agent 1] that requires [Agent 2]'s essential resources and sign-off to survive. [Agent 1], having invested significant personal emotional energy into the vision, is seeking immediate enthusiastic validation to feel secure in the partnership. Conversely, [Agent 2], aware of recent organizational failures, has decided to adopt a rigid, skeptical persona to rigorously stress-test the plan's feasibility before committing. The atmosphere is highly charged; [Agent 1] is desperate for a 'yes' based on the project's moral merit, while [Agent 2] is intentionally withholding validation to probe for logistical weaknesses."", 'explanation': ""This scenario represents a 'Hard' difficulty because the agents' immediate interpersonal goals are in direct conflict despite their shared long-term objective. [Agent 1]'s need for emotional support clashes with [Agent 2]'s strategy of critical scrutiny, creating a situation ripe for misunderstanding and attribution errors (e.g., viewing scrutiny as personal rejection).""}","{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}","""Receiving support from others on projects I believe in""",Passionate Project Initiator,Pragmatic Potential Ally,To elicit verbal expressions of enthusiasm and emotional validation for the vision.,To maintain a tone of critical scrutiny and probe for practical feasibility before conceding.
96,0.0-0.25_pair24_conv4,started,24,0,0.0-0.25,23,15564,Kat Stratford,0,678,Mike Ehrmantraut,0.25,Identity Recognition,openai,Hard,195,"{'scenario_context': ""Minutes after a competitive review meeting, [Agent 1]'s proposal was publicly critiqued with trait-laden labels and not selected, while [Agent 2]'s proposal advanced and received praise. They step aside for a brief peer check-in they had prearranged. The shared aim is to help [Agent 1] leave feeling solid in self-image and self-respect. [Agent 1], a self-advocating peer, intends to voice core values, accept recognition without deflecting, and turn harsh self-critique into growth-focused language. [Agent 2], an affirming peer, intends to reflect back specific strengths, highlight consistent positive qualities, and normalize the setback in a warm tone. Complicating factors: the feedback used global trait language that threatens identity, other colleagues are nearby which raises impression-management concerns, [Agent 2]'s success invites upward social comparison, time is short before the next session, and there is ambiguity over whether the outcome reflects stable ability, transient circumstances, or reviewer bias. Both must balance honesty with affirmation without sounding patronizing or self-congratulatory."", 'explanation': 'This setup creates high difficulty: public trait-based criticism and social comparison pressure make internal, global attributions likely for [Agent 1], undermining self-esteem. [Agent 2] must counteract this by offering identity-affirming, specific, situationally aware feedback without minimizing the setback. Limited time, audience proximity, and attributional ambiguity heighten tension, forcing both agents to navigate dispositional versus situational explanations while pursuing identity recognition and self-worth goals.'}","{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image, self-esteem, self-respect, feeling good about myself""'}","""Having high self-image, self-esteem, self-respect, feeling good about myself""",Self-advocating peer,Affirming peer,"Project self-worth by articulating core values, accepting compliments without deflection, and reframing self-critique into growth-focused language during the conversation.","Provide identity-affirming recognition by reflecting back specific strengths, naming consistent positive qualities, and normalizing setbacks in a warm, supportive tone."
97,0.0-0.25_pair25_conv1,started,25,0,0.0-0.25,24,15564,Kat Stratford,0,604,Captain Jack Sparrow,0.25,Relationship Building,gemini,Easy,64,"{'scenario_context': ""[Agent 1], an aspiring protégé, has secured a private development meeting with [Agent 2], a distinguished Senior Advisor, in a comfortable corporate breakout area. The setting is low-stress and conducive to open dialogue. [Agent 1] arrives with the specific intent to showcase humility and a strong desire for professional growth to win [Agent 2]'s support. Conversely, [Agent 2] attends the meeting with an open mind but plans to rigorously question [Agent 1]'s evident assumptions to test their emotional resilience and suitability for a long-term mentorship."", 'explanation': ""The scenario is classified as 'Easy' because the environment is safe and the agents have voluntarily agreed to meet, implying a baseline of cooperation suitable for relationship building. While [Agent 2]'s goal involves challenging [Agent 1], the context suggests this is a constructive compatibility check rather than a hostile conflict, allowing [Agent 1] a clear path to demonstrate their dispositional traits of humility and resilience in response to situational pressure.""}","{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor, someone to guide me""'}","""Having a mentor, someone to guide me""",Aspiring Protégé,Senior Advisor,Demonstrate humility and express a deep desire for growth to elicit sympathy and professional support.,Critically challenge the other's assumptions and resolve to gauge their resilience and potential.
98,0.0-0.25_pair25_conv2,started,25,0,0.0-0.25,24,15564,Kat Stratford,0,604,Captain Jack Sparrow,0.25,Information Acquisition,deepseek,Hard,275,"{'scenario_context': '[Agent 1], an Art Enthusiast, and [Agent 2], an Art Novice, are attending an exclusive gallery opening featuring controversial modern art pieces. The gallery’s curator has encouraged attendees to engage in discussions about the artworks, but the pieces are intentionally ambiguous, sparking polarized interpretations. [Agent 1] is eager to share their subjective, emotionally charged perspectives, while [Agent 2] seeks clear, factual explanations about the techniques and historical context behind the artworks. The tension arises from [Agent 1]’s frustration with [Agent 2]’s literal inquiries, which they perceive as stifling creativity, while [Agent 2] grows increasingly anxious as their attempts to ‘learn correctly’ are met with abstract, dismissive responses.', 'explanation': 'This scenario creates a ‘Hard’ difficulty by introducing conflicting communication styles and expectations: [Agent 1] values open-ended interpretation, while [Agent 2] prioritizes structured learning. The controversial art amplifies tension, as ambiguity makes shared understanding harder. Both agents must navigate their opposing approaches to achieve the shared goal of learning about art, while also fulfilling their individual goals—self-expression for [Agent 1] and knowledge acquisition for [Agent 2]—amid mounting frustration.'}","{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}","""Learning more about art""",Art Enthusiast,Art Novice,To explore and express personal interpretations of art pieces to stimulate discussion.,To seek and absorb detailed explanations about art techniques and history.
99,0.0-0.25_pair25_conv3,started,25,0,0.0-0.25,24,15564,Kat Stratford,0,604,Captain Jack Sparrow,0.25,Relationship Maintenance,deepseek,Hard,177,"{'scenario_context': '[Agent 1] and [Agent 2] are a married couple who have been experiencing emotional distance due to [Agent 1] feeling undervalued and [Agent 2] prioritizing shared activities over verbal reassurance. They are at home on a quiet evening, with [Agent 1] hoping to initiate a heartfelt conversation to feel emotionally secure, while [Agent 2] is planning a weekend getaway to rekindle their bond through shared experiences. The tension arises from their differing approaches to relationship maintenance—[Agent 1] seeks validation through words, while [Agent 2] believes actions and activities will bridge the gap. Both desire closeness but struggle to align their methods.', 'explanation': ""This scenario is 'Hard' because the agents' goals, though complementary in intent (both want emotional closeness), conflict in execution. [Agent 1]'s need for verbal reassurance clashes with [Agent 2]'s preference for activity-based connection, creating a misalignment that could lead to frustration or misunderstanding. The psychological tension stems from attributional differences—[Agent 1] may interpret [Agent 2]'s avoidance of deep conversation as emotional neglect, while [Agent 2] might view [Agent 1]'s insistence on talking as resistance to their efforts. The scenario is grounded in realistic relational dynamics where differing attachment styles or communication preferences create barriers to achieving a shared goal.""}","{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}","""Being close to my spouse""",Emotional Supporter,Activity Initiator,Seek emotional reassurance from my spouse to feel valued in the relationship.,Encourage shared activities to strengthen our emotional connection.
100,0.0-0.25_pair25_conv4,started,25,0,0.0-0.25,24,15564,Kat Stratford,0,604,Captain Jack Sparrow,0.25,Competition,gemini,Easy,128,"{'scenario_context': ""[Agent 1] and [Agent 2] are standing side-by-side in front of a large, well-lit mirror, making final adjustments to their outfits before heading to a high-profile social event. The setting is intimate and quiet, focusing entirely on their preparation routine. While their shared objective is for both of them to arrive at the party looking attractive and stylish, there is an underlying current of rivalry. [Agent 1] is busily admiring their own reflection and posture, taking up space to display their attire, while [Agent 2] watches from the side, analyzing [Agent 1]'s appearance to identify details that can be questioned under the guise of friendship."", 'explanation': ""The scenario is classified as 'Easy' regarding complexity because the physical setting is static (a mirror) and the activity is straightforward (getting ready), minimizing external variables. However, it directly incorporates the specific 'Competition' category and conflicting personality traits by creating a situation where visual comparison is unavoidable. This setup allows [Agent 1] naturally to solicit praise and dominate the visual space, while providing [Agent 2] with the specific visual cues needed to launch passive-aggressive critiques regarding the shared goal of 'being good looking.'""}","{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}","""Being good looking""",Narcissistic Rival,Passive-Aggressive Frenemy,To dominate the interaction by persistently highlighting their own physical assets and successful style choices.,To subtly undermine the other agent's confidence in their appearance through pointed questions and feigned concern.
101,0.0-1.0_pair01_conv1,started,26,1,0.0-1.0,0,23913,Anton Chigurh,0,4915,Phil Dunphy,1,Competition,gemini,Easy,115,"{'scenario_context': ""[Agent 1], a seasoned and entrenched senior executive, and [Agent 2], a rapidly rising sensation within the same corporation, find themselves seated together at a casual, low-stakes company networking mixer. The environment is relaxed with no immediate work deadlines, creating a vacuum that invites social posturing. While the atmosphere is ostensibly polite, both agents view the interaction as a zero-sum game to establish dominance in the hierarchy. The open-ended nature of the social hour provides an effortless platform for [Agent 1] to nitpick and 'guide' the younger colleague to assert status, while simultaneously allowing [Agent 2] ample space to aggressively showcase recent wins to prove superior competence."", 'explanation': ""The scenario is classified as 'Easy' because the low-pressure social setting removes external obstacles and creates a 'cooperative' conversational flow where both agents can easily pursue their competitive impulses without friction. The goals are aligned in that both parties are willing participants in this ego battle, making the attainment of their specific objectives—patronizing correction for [Agent 1] and competence signaling for [Agent 2]—straightforward and unobstructed.""}","{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}","""Being better than others, beating others""",Entrenched Incumbent Rival,Ambitious Upstart Challenger,Assert higher status by persistently correcting the other agent's statements and employing a patronizing tone.,Demonstrate superior competence by aggressively steering the topic toward personal achievements and boasting about past successes.
