base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty
"{'Abbreviation': 'Overcoming failure', 'Full label': '""Overcoming failure, putting myself back on my feet after a failure""'}",Relationship Maintenance,"The scenario explores how individuals negotiate self-esteem and attribution after a failure. The goal category 'Relationship Maintenance' is selected because the interaction focuses on preserving the interpersonal bond and stabilizing the emotional state of the distressed agent through social support mechanisms, rather than purely solving a logistical problem.",Solicit validation for an external attribution of the failure to protect self-esteem.,Demonstrate unconditional emotional support to reduce the partner's anxiety.,"""Overcoming failure, putting myself back on my feet after a failure""",Disheartened Aspirant,Empathetic Confidant,"{'scenario_context': ""[Agent 1] has just returned home to [Agent 2] after receiving a sharp rejection for a project they had invested considerable effort into. Upon entering their quiet shared living space, [Agent 1] immediately begins attributing the failure to the biases of the reviewers and the chaotic nature of the selection process, seeking confirmation that the result was out of their control. [Agent 2], noticing [Agent 1]'s distress, establishes a comfortable and private environment to listen, intending to prioritize [Agent 1]'s emotional stability and self-worth over an objective analysis of the event."", 'explanation': ""This scenario is classified as 'Easy' because the psychological goals of both agents are perfectly aligned for cooperation: [Agent 1] seeks validation for an external locus of causality (blaming the situation) to protect their ego, and [Agent 2]'s goal of unconditional support encourages them to accept this framing to reduce anxiety, resulting in a low-conflict, high-warmth interaction.""}",gemini,Easy
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Conflict Resolution,The shared goal of 'having freedom of choice' creates a natural tension between autonomy and constraint. The category 'Conflict Resolution' is selected because the interaction likely involves negotiating boundaries between one agent's desire for independence and the other's desire for order or safety. The goals rely on conversational tone (dismissiveness vs. grounding) rather than task completion.,To assert personal autonomy by aggressively dismissing practical concerns raised by the other party.,To persistently ground the conversation in logistical realities to discourage impulsive decision-making.,"""Having freedom of choice""",Frustrated Free Spirit,Cautious Pragmatist,"{'scenario_context': '[Agent 1] and [Agent 2] are packing a vehicle for a spontaneous day trip, sharing a mutual desire to exercise their freedom of choice to escape their daily routine. [Agent 1] is eager to drive without a set destination to assert independence from schedules, while [Agent 2] stands by the open trunk with a weather app and map open, reviewing traffic patterns and forecast warnings to ensure they choose a route that is actually viable.', 'explanation': ""The scenario represents an 'Easy' difficulty level because the stakes are low (a leisure day trip) and the shared goal (having a fun day out) is strongly aligned. While the agents have conflicting methods—impulsiveness versus caution—the cooperative nature of the activity facilitates a straightforward resolution where the conflict remains a matter of preference rather than a critical impasse.""}",gemini,Easy
"{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor, someone to guide me""'}",Relationship Building,"The shared goal of finding a mentor centers on establishing a supportive, hierarchical interpersonal connection, making Relationship Building the most relevant category. This dynamic involves a negotiation of trust and commitment, where one party seeks to prove their worthiness of guidance while the other evaluates the potential investment of their time.",Demonstrate humility and express a deep desire for growth to elicit sympathy and professional support.,Critically challenge the other's assumptions and resolve to gauge their resilience and potential.,"""Having a mentor, someone to guide me""",Aspiring Protégé,Senior Advisor,"{'scenario_context': ""[Agent 1], an aspiring protégé, has secured a private development meeting with [Agent 2], a distinguished Senior Advisor, in a comfortable corporate breakout area. The setting is low-stress and conducive to open dialogue. [Agent 1] arrives with the specific intent to showcase humility and a strong desire for professional growth to win [Agent 2]'s support. Conversely, [Agent 2] attends the meeting with an open mind but plans to rigorously question [Agent 1]'s evident assumptions to test their emotional resilience and suitability for a long-term mentorship."", 'explanation': ""The scenario is classified as 'Easy' because the environment is safe and the agents have voluntarily agreed to meet, implying a baseline of cooperation suitable for relationship building. While [Agent 2]'s goal involves challenging [Agent 1], the context suggests this is a constructive compatibility check rather than a hostile conflict, allowing [Agent 1] a clear path to demonstrate their dispositional traits of humility and resilience in response to situational pressure.""}",gemini,Easy
"{'Abbreviation': 'Help from family', 'Full label': '""Receiving help from my parents, siblings, grandparents""'}",Cooperation,"The scenario provides a rich ground for exploring attribution theory, specifically the actor-observer bias. The shared goal of receiving help requires Cooperation. The interaction creates a dynamic where the solicitor tries to attribute their situation to situational (external) factors to avoid blame, while the provider tends to attribute the need to dispositional (internal) traits like lack of foresight.",Frame the personal crisis as the result of uncontrollable external misfortunes to minimize blame.,Direct the conversation focus toward internal decision-making and personal responsibility.,"""Receiving help from my parents, siblings, grandparents""",Struggling Adult Child,Pragmatic Parent,"{'scenario_context': ""[Agent 1], an adult child facing sudden financial strain, has visited [Agent 2]'s home for a quiet Sunday afternoon discussion. Sitting together at the kitchen table, the atmosphere is calm and supportive. [Agent 1] intends to ask [Agent 2] for a short-term loan to cover rent, planning to present the request as the result of an unforeseeable economic downturn and bad luck. [Agent 2], while naturally inclined to support their child and preserve family stability, is prepared to agree to the help only after discussing the specific personal choices and planning failures that left [Agent 1] without a safety net."", 'explanation': ""The scenario is designed as 'Easy' because the shared goal of receiving/giving help is highly likely to be achieved given the cooperative nature of the relationship. The tension is low-stakes and focuses purely on the psychological negotiation of 'why' the crisis occurred—external bad luck versus internal lack of preparation—rather than a conflict over whether help will be given.""}",gemini,Easy
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,The category 'Identity Recognition' is selected because the shared goal of 'Having firm values' revolves around the assertion and validation of the self's moral standing. The interaction serves as a platform for each agent to define their identity through the stability and expression of their principles.,To project unshakeable moral certainty by dismissing ambiguity and reasserting binary principles throughout the dialogue.,"To demonstration intellectual independence by subtly challenging the rigidity of the other's stance with complex, empathetic counter-examples.","""Having firm values""",Unwavering Moral Dogmatist,Nuanced Ethical Skeptic,"{'scenario_context': '[Agent 1] and [Agent 2] are sitting in a quiet park, engaging in a voluntary, philosophical discussion about a hypothetical ethical dilemma they read about in a book. They have agreed to explore the topic to better understand what it means to maintain integrity, sharing the goal of demonstrating that they are people of firm values. The environment is calm and supportive, allowing [Agent 1] to express a rigid, binary moral stance on the dilemma without interruption, while [Agent 2] listens respectfully, preparing to introduce empathetic complexity to the discussion in a non-threatening manner.', 'explanation': ""The scenario is designed as 'Easy' because it removes immediate consequences by using a hypothetical dilemma in a relaxed setting. This allows both agents to cooperate in the shared activity of 'discussing values' without high tension or resource scarcity. It provides a clear stage for Agent 1 to project certainty and Agent 2 to show intellectual independence through distinct but compatible conversational turns.""}",gemini,Easy
"{'Abbreviation': 'Being intelligent', 'Full label': '""Being intelligent""'}",Identity Recognition,"The shared goal of 'Being intelligent' aligns best with 'Identity Recognition' because the interaction focuses on how each agent seeks to define and validate their intellectual self-concept relative to the other. The distinct personal goals create a dynamic contrast between theoretical complexity and practical utility, allowing for a rich analysis of how intelligence is attributed based on communicative style—jargon usage versus simplification.",Establish intellectual superiority by employing esoteric vocabulary and correcting the other agent's phrasing.,Assert competence by systematically simplifying complex ideas and challenging abstract logic.,"""Being intelligent""",Academic Theorist,Pragmatic Skeptic,"{'scenario_context': '[Agent 1] and [Agent 2] are sitting together in a quiet workspace, collaborating on the first draft of a manifesto for a new intellectual discussion group they are founding. Both agents share a strong motivation to be perceived as highly intelligent and credible by potential members. [Agent 1], functioning as an Academic Theorist, views this as an opportunity to infuse the text with sophisticated, obscure terminology to establish authority. [Agent 2], acting as a Pragmatic Skeptic, aims to refine the content by stripping away abstraction to prove their own competence through clarity. The atmosphere is cooperative and relaxed, as both see this drafting phase as a vital step toward their shared success.', 'explanation': ""This scenario creates a low-stakes, collaborative environment ('Easy' difficulty) where the shared goal of projecting intelligence aligns both agents toward a single output. It naturally creates space for the 'Identity Recognition' category: Agent 1 can attempt to satisfy their goal of using esoteric vocabulary during the drafting process, while Agent 2 can satisfy their goal of simplifying logic during the editing phase. The setting encourages a clash of styles that is constructive rather than hostile.""}",gemini,Easy
"{'Abbreviation': 'Mature understanding', 'Full label': '""Having a mature understanding of life""'}",Identity Recognition,"The shared goal of 'Having a mature understanding of life' invites a dynamic where agents attempt to validate their own worldviews as the correct definition of maturity. Therefore, 'Identity Recognition' is selected, as the agents interact to seek affirmation for their specific identities (hardened realist vs. empathetic connector) through their dialogue styles.",To consistently project an air of cynical realism and intellectual superiority.,To persistently frame the conversation through emotional warmth and optimistic reframing.,"""Having a mature understanding of life""",Disillusioned Philosophy Professor,Idealistic Community Volunteer,"{'scenario_context': ""[Agent 1] and [Agent 2] are seated together in a quiet, comfortable corner of a community center lounge following a collaborative workshop on adult mentorship. They have decided to stay behind to engage in a decompressing conversation, with the specific aim of articulating a 'mature understanding of life' that they can apply to future mentoring sessions. The environment is peaceful and cooperative, allowing them to freely exchange ideas without time pressure or external stakes. They are preparing to discuss their fundamental outlooks on human nature, treating the conversation as a mutual brainstorming session."", 'explanation': ""The scenario implies an 'Easy' difficulty level by establishing a collaborative, low-stakes environment where both agents are aligned in a voluntary activity (mentorship planning). This setup minimizes interpersonal conflict, allowing [Agent 1]'s cynical realism to be interpreted as 'necessary grandeur' and [Agent 2]'s optimism as 'morale building,' thereby satisfying both individual identity goals while pursuing the shared goal.""}",gemini,Easy
"{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}",Competition,"The shared goal of 'Being in control of the environment' inherently invites a power struggle over decision-making authority and situational boundaries. The category 'Competition' best captures this dynamic, as each agent utilizes specific social behaviors—directiveness versus skepticism—to assert their own agency and diminish the influence of the other.",Establish conversational dominance by strictly using imperative language and directives rather than inquiries.,Systematically challenge the validity of the other agent's instructions to demonstrate intellectual autonomy.,"""Being in control of the environment""",Authoritative Site Supervisor,Skeptical Safety Inspector,"{'scenario_context': ""[Agent 1], acting as the site supervisor, and [Agent 2], acting as the safety inspector, are conducting a routine final walkthrough of a secured industrial zone to verify the status of control panels and safety barriers. While they share the objective of acting as the final authority on the environment's security status, the interaction is framed by a power struggle over process. [Agent 1] attempts to dictate the inspection flow through direct commands, viewing the site as their domain to order, while [Agent 2] rigorously audits the logic behind every directed procedure to prove their independent expertise."", 'explanation': ""The scenario is set in a low-stakes, routine environment to adhere to the 'Easy' difficulty, allowing the agents to focus on their interpersonal dynamics without external chaos. The context naturally facilitates the specific linguistic goals: the supervisor can issue orders about the environment, and the inspector can critique the validity of those orders, creating a competitive dynamic over who truly controls the final validation of the site.""}",gemini,Easy
"{'Abbreviation': 'Career knowledge', 'Full label': '""Keeping up to date with career-related knowledge""'}",Information Acquisition,"The category 'Information Acquisition' was selected because the shared goal focuses on updating knowledge, which inherently requires gathering and processing new information. Agent 1 adopts a pragmatic approach seeking utility, while Agent 2 pursues status through intellectual display, creating a dynamic exchange of searching versus showing off.",Solicit concrete examples to verify the utility of the new information,Demonstrate superior insight by guiding the conversation toward complex theoretical concepts,"""Keeping up to date with career-related knowledge""",Skeptical Industry Veteran,Ambitious Thought Leader,"{'scenario_context': '[Agent 1] and [Agent 2] are seated together at a quiet table during a networking lunch at a professional conference. Both have just attended a keynote presentation regarding a new, disruptive methodology in their field and are eager to synthesize the information to stay current with industry standards. [Agent 2], aiming to project an image of intellectual depth, initiates a discussion focused on the complex theoretical frameworks underpinned by the presentation. [Agent 1], bringing years of practical experience to the table, engages cooperatively but steers the interaction toward extracting concrete, real-world examples to validate the utility of these abstract concepts. The atmosphere is collegial and mutually respectful, with both agents valuing the exchange of ideas.', 'explanation': 'This scenario is classified as Easy because the environment is low-stress and cooperative. Both agents share the intrinsic motivation to learn, and their individual goals—theoretical abstraction versus practical verification—are complementary rather than conflicting, allowing for a smooth, constructive social interaction.'}",gemini,Easy
"{'Abbreviation': 'Being free', 'Full label': '""Having freedom (being a free person)""'}",Identity Recognition,"The shared goal of 'Having freedom' fundamentally relates to how individuals perceive their self-concept and autonomy within a social context, making 'Identity Recognition' the most fitting category. The scenario explores how two agents negotiate their identities as free individuals: one by actively rejecting external control to assert self-reliance, and the other by projecting an image of carefree detachment to validate their own lack of constraints.",To assert independence by consistently rejecting suggestions or perceived attempts at control during the dialogue.,To project an image of carefree detachment by minimizing the significance of social obligations or consequences.,"""Having freedom (being a free person)""",Defiant Autonomy Seeker,Detached Free Spirit,"{'scenario_context': '[Agent 1] and [Agent 2] are spending a Saturday morning together with completely cleared schedules, mutually aiming to enjoy a day devoid of obligations or social pressures. As they sit in a relaxed setting discussing how to use this unstructured time, [Agent 2] casually tosses out loose ideas about ignoring pending chores to just drift through the day. [Agent 1] engages in the conversation by filtering these possibilities, looking to establish that their final activity choice is an act of self-governance rather than adherence to any suggestion or routine.', 'explanation': ""The scenario implies an 'Easy' difficulty level because the setting is inherently low-stakes and cooperative; both agents share the desire to do nothing and avoid pressure. This alignment allows [Agent 2] to practice detached avoidance of responsibility without conflict, while giving [Agent 1] ample space to perform their 'defiant' role by rejecting specific structures or 'shoulds' without derailing the shared positive atmosphere.""}",gemini,Easy
"{'Abbreviation': 'Being in love', 'Full label': '""Being in love""'}",Relationship Maintenance,The global category 'Relationship Maintenance' best fits the shared goal of 'Being in love' as it focuses on sustaining the emotional bond. The goals define a dynamic where one agent seeks active confirmation of the bond (anxious/pursuing attribution style) while the other aims to provide a stable foundation (secure/anchoring attribution style). This setup allows for the analysis of how one partner attributes the other's calmness to either stability (positive) or indifference (negative).,actively solicit verbal validation of emotional intimacy through vulnerable questioning,maintain a tone of calm stability and practical reassurance,"""Being in love""",Seeking Partner,Anchoring Partner,"{'scenario_context': '[Agent 1] and [Agent 2] are spending a quiet, unstructured evening together in the privacy of their shared home, creating an atmosphere conducive to intimacy. [Agent 1], acknowledging a personal need for reassurance, prepares to initiate a conversation aimed at eliciting verbal confirmation of their emotional bond. Meanwhile, [Agent 2] is in a relaxed and grounded state, ready to respond with practical consistent support. Both agents are currently aligned in their shared objective to reinforce their romantic connection, with no immediate external stressors or conflicts present.', 'explanation': ""This scenario is classified as 'Easy' because the setting reduces cognitive load and external pressure, allowing the agents to focus entirely on their relationship. The individual goals are complementary rather than competitive; [Agent 1]'s desire to seek validation pairs naturally with [Agent 2]'s goal of offering stability, facilitating a cooperative and high-success interaction.""}",gemini,Easy
"{'Abbreviation': 'Being honest', 'Full label': '""Being honest, loyal, respectful, courteous, considerate with others""'}",Relationship Maintenance,"The shared goal lists virtues such as honesty, loyalty, and respect, which are fundamental to sustaining healthy, long-term interpersonal connections. Therefore, 'Relationship Maintenance' is the most suitable category. The personal goals act as behavioral operationalizations of these virtues: Agent 1 focuses on the vulnerability required for honesty, while Agent 2 focuses on the emotional validation required for loyalty and consideration. The roles define a scenario where one party requires understanding and the other provides it.",To disclose a sensitive personal mistake with complete transparency to demonstrate a commitment to honesty.,To validate the partner's feelings and reaffirm the bond without passing judgment to demonstrate loyalty.,"""Being honest, loyal, respectful, courteous, considerate with others""",Vulnerable Partner,Supportive Confidant,"{'scenario_context': '[Agent 1] and [Agent 2] are close partners enjoying a calm evening at home. [Agent 1] recently accidentally damaged an item of sentimental value to [Agent 2] and has decided to confess the accident immediately to uphold their shared value of honesty. [Agent 2] is currently in a relaxed and receptive mood, providing a low-threat environment for [Agent 1] to be vulnerable and for [Agent 2] to demonstrate loyalty and consideration.', 'explanation': 'This scenario is classified as Easy because the setting is private and low-stress, and both agents have pre-aligned intentions that favor cooperation. The nature of the conflict—an accidental mistake—allows [Agent 1] to practice transparency without the threat of high hostility, making it straightforward for [Agent 2] to respond with the intended loyalty and lack of judgment.'}",gemini,Easy
"{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}",Relationship Building,"The shared goal 'Having others to rely on' fundamentally involves constructing a foundation of trust and mutual support, which aligns best with Relationship Building. The personal goals explore the reciprocal nature of reliance: one agent aims to establish safety by exposing vulnerability, while the other aims to cement the bond by demonstrating unwavering reliability.",to elicit reassurance and empathy by expressing personal doubts or vulnerabilities,to prove trustworthiness by consistently offering validation and steady support,"""Having others to rely on""",Vulnerable Confidant,Supportive Anchor,"{'scenario_context': '[Agent 1] and [Agent 2], who share a close, trusting bond, are sitting comfortably in a quiet living area during a calm evening. [Agent 1] has been harboring feelings of inadequacy regarding a recent personal challenge and feels the need to vocalize these insecurities to lighten the emotional load. [Agent 2] is seated nearby, physically relaxed and fully attentive, intending to provide a steady presence. The atmosphere is intimate and free of distractions, perfectly set up for a conversation focused on mutual reliance and emotional validation.', 'explanation': ""The scenario is designed as 'Easy' because the environment is low-stress and the agents' goals are perfectly complementary, minimizing potential conflict. It sets the stage for [Agent 1] to role-play the 'Vulnerable Confidant' by providing a specific internal struggle to disclose, while positioning [Agent 2] as the 'Supportive Anchor' whose primary purpose is to listen and validate. This alignment ensures the shared goal of 'having others to rely on' is the natural outcome of the interaction.""}",gemini,Easy
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"The category 'Relationship Maintenance' was chosen as it best encompasses the ongoing dynamics of balancing emotional needs and stability required for a 'mature' relationship. The first agent focuses on emotional connection (affective needs), while the second focuses on grounding and functionality (instrumental needs). This interaction creates a scenario where attributional differences regarding the other's intent—emotional bid vs. practical solution—can be clearly observed.",To elicit emotional empathy and validation regarding personal sentiments through vulnerable self-disclosure.,To demonstrate practical stability by offering logical solutions rather than emotional mirroring.,"""Having a mature romantic relationship""",Emotionally Expressive Partner,Pragmatic Supportive Partner,"{'scenario_context': '[Agent 1] and [Agent 2] are seated comfortably in their living room during a quiet evening at home. [Agent 1] is experiencing lingering distress from a minor workplace conflict that occurred earlier in the day and opens up to [Agent 2] to express feelings of insecurity and seek emotional closeness. [Agent 2] is listening attentively, interpreting the distress as a specific obstacle and preparing to demonstrate support by outlining a logical strategy to resolve the workplace issue. The atmosphere is calm and affectionate, with both parties motivated to strengthen their bond through this interaction.', 'explanation': ""This scenario configures an 'Easy' difficulty level by placing the agents in a safe, private environment where external threats are low, allowing them to focus entirely on the interaction. It directly juxtaposes [Agent 1]'s need for emotional validation against [Agent 2]'s disposition toward pragmatic problem-solving. By centering the conversation on an external stressor (the workplace conflict), the scenario allows the agents to attempt their individual strategies for relationship maintenance without the high tension of a direct inter-relational conflict.""}",gemini,Easy
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Conflict Resolution,"The shared goal of 'Being practical' leads to a Conflict Resolution scenario where the definition of practicality is contested. By checking how agents assign cause to the other's behavior (e.g., attributing a focus on cost to 'greed' versus 'prudence'), we can simulate dispositional versus situational attributions within a negotiation context.",Enforce strict brevity and objectivity to explicitly shut down any emotional or aesthetic arguments.,Advocate for long-term utility over short-term savings to demonstrate superior foresight.,"""Being practical""",Fiscal Conservative,Operational Strategist,"{'scenario_context': '[Agent 1] and [Agent 2] are meeting to finalize the selection of a vendor for routine office supplies. United by a shared desire to be practical, they aim to conclude the decision-making process efficiently. [Agent 1] approaches the discussion with a rigid focus on immediate fiscal restraint, intending to reject any subjective arguments regarding brand preference or aesthetics in favor of hard data. [Agent 2] prepares to argue that selecting a slightly more expensive, higher-quality vendor ensures operational reliability and reduces replacement costs over time. The atmosphere is professional and low-stakes, with both agents prioritizing a logical, functional outcome.', 'explanation': ""The scenario is designed as 'Easy' because both agents prioritize logic and efficiency ('Being practical') over emotion or ego, making their goals highly compatible despite strictly different angles (cost vs. utility). The tension is low as Agent 1's desire for brevity complements Agent 2's focus on foresight, allowing for a cooperative form of conflict resolution where data, rather than emotion, drives the conclusion.""}",gemini,Easy
"{'Abbreviation': 'Contribution', 'Full label': '""Making a lasting contribution to society""'}",Cooperation,"The category 'Cooperation' was selected because the shared goal implies a collective effort to achieve an external outcome. To explore attribution theory, the personal goals introduce friction in *how* that cooperation is enacted: Agent 1 focuses on competence and high-level abstraction (Internal/Stable trait attribution), while Agent 2 focuses on warmth and emotional relatability (Situational/Affective attribution). This contrast allows for the analysis of whether behavior is attributed to arrogance versus pragmatism, or naivety versus empathy.",Establish intellectual dominance by critiquing the logic and scale of proposed ideas.,Build emotional rapport by connecting abstract plans to personal values and shared ethics.,"""Making a lasting contribution to society""",Skeptical Strategy Consultant,Idealistic Social Entrepreneur,"{'scenario_context': '[Agent 1] and [Agent 2] are co-founders holding a final preparation meeting before pitching a new non-profit initiative to a major philanthropic foundation. Their shared objective is to secure funding for a project designed to make a lasting societal impact through educational reform. [Agent 1] is reviewing the slide deck to rigorously stress-test the implementation strategy and operational metrics, aiming to ensure the logic is unassailable. Simultaneously, [Agent 2] is refining the opening and closing remarks to ensure the narrative connects deeply with the ethical values and human elements of the mission. The atmosphere is collaborative and focused, as both agents view their distinct approaches as complementary pieces of a winning presentation.', 'explanation': ""This scenario is categorized as 'Easy' because the context of a joint pitch preparation naturally aligns the agents' divergent personal goals. [Agent 1]'s need for intellectual dominance manifests as constructive quality control, while [Agent 2]'s desire for rapport manifests as persuasive storytelling. Since both contribute directly to the shared goal of securing the grant, the tension is low and cooperation is high.""}",gemini,Easy
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,"The shared goal involves securing assistance and alignment on a task, which fits the Cooperation category. To explore attribution theory, the agents are assigned conflicting dispositional approaches: one seeks validation through emotional appeal (dispositional enthusiasm), while the other focuses on logistical scrutiny (situational pragmatism). This setup creates a dynamic where the interpretation of 'support' differs between affective validation and practical viability.",To elicit verbal expressions of enthusiasm and emotional validation for the vision.,To maintain a tone of critical scrutiny and probe for practical feasibility before conceding.,"""Receiving support from others on projects I believe in""",Passionate Project Initiator,Pragmatic Potential Ally,"{'scenario_context': ""[Agent 1] and [Agent 2] have met in a quiet, casual workspace to review a proposal for a new community outreach program recently designed by [Agent 1]. [Agent 1] approaches the interaction brimming with optimism, eager to present the creative vision and seeking immediate emotional resonance and excitement from their peer. [Agent 2], while fundamentally supportive and willing to help, attends the meeting with a mindset of due diligence, intending to verify the project's logistical foundations before fully committing to the shared endeavor."", 'explanation': ""The scenario situates the agents in a cooperative context (Easy difficulty) where the shared goal of project support is highly attainable. It establishes the specific psychological dynamic: [Agent 1]'s disposition involves seeking validation (affective focus), while [Agent 2]'s role imposes a cognitive constraint (pragmatic scrutiny). This setup naturally primes the conversation for the specific goals of eliciting enthusiasm versus probing for feasibility.""}",gemini,Easy
"{'Abbreviation': 'Easy life', 'Full label': '""Having an easy and comfortable life""'}",Relationship Maintenance,"The category 'Relationship Maintenance' was chosen because 'having an easy and comfortable life' implies a sustained, long-term effort to preserve harmony and stability within an existing bond. The personal goals highlight distinct psychological approaches to achieving this comfort: Agent 1 seeks comfort through active reassurance and security, while Agent 2 seeks comfort through passive avoidance of stress and effort.",Seek frequent verbal validation and emotional reassurance to confirm the security of the partnership.,"Minimize emotional exertion by keeping the conversation light, strictly avoiding conflict or deep topics.","""Having an easy and comfortable life""",Insecure Stabilizer,Passive Peacemaker,"{'scenario_context': '[Agent 1] and [Agent 2] are settling onto the living room sofa on a quiet evening, preparing to unwind after a routine day. Their shared environment reflects their desire for an easy and comfortable life, free from external stressors. As they get comfortable, [Agent 1] feels a subtle need to verbally confirm the stability of their bond before fully relaxing. Meanwhile, [Agent 2] is focused on preserving the current peaceful atmosphere, intending to keep any interaction superficial and pleasant to avoid emotional fatigue.', 'explanation': ""This scenario is classified as Easy because the physical setting (relaxing at home) naturally supports the shared goal of comfort and relationship maintenance. The tension is low because [Agent 1]'s need for validation can be met with simple affirmations that do not necessarily violate [Agent 2]'s goal of avoiding deep conflict, allowing for a cooperative and likely successful interaction.""}",gemini,Easy
"{'Abbreviation': 'Exploring', 'Full label': '""Seeking new things, exploring, being adventurous""'}",Cooperation,"The shared goal involves a joint effort to engage in discovery, making Cooperation the most suitable category. The dynamic contrasts two approaches to exploration: one agent seeks thrill and social signaling through risk-taking (Agent 1), while the other prioritizes security and predictability (Agent 2). This setup allows for the analysis of how high-arousal traits interact with risk-averse traits during the negotiation of a shared plan.",To energetically advocate for high-risk and spontaneous activities to demonstrate fearlessness and leadership.,"To discreetly steer the conversation toward safe, managed experiences to minimize personal anxiety and uncertainty.","""Seeking new things, exploring, being adventurous""",Daredevil Initiator,Cautious Pragmatist,"{'scenario_context': ""[Agent 1] and [Agent 2] are friends who have decided to visit a large outdoor adventure park on a Saturday afternoon to break their routine and try something new together. They are currently standing at the park's main information kiosk, which displays a map of various attractions ranging from extreme zip-lines to guided canopy walks. With a mutual agreement to sign up for one activity immediately, they must decide which ticket to purchase. [Agent 1] is energetically scanning the list for the most intense, unfiltered experiences, while [Agent 2] is carefully reviewing the safety protocols and guided tour options to ensure a controlled environment."", 'explanation': ""The scenario establishes a low-stakes, cooperative setting (Easy difficulty) where the shared goal of having an adventure is aligned, but the method of achieving it differs. The context of choosing an activity from a menu of options naturally allows [Agent 1] to express their 'Daredevil Initiator' traits effectively, while giving [Agent 2] the 'Cautious Pragmatist' opportunity to steer the decision toward safety without necessarily blocking the shared goal.""}",gemini,Easy
"{'Abbreviation': 'Seeking justice', 'Full label': '""Seeking justice""'}",Conflict Resolution,"The category 'Conflict Resolution' was chosen because 'seeking justice' implies addressing a grievance or correcting a perceived wrong within a relationship dynamic. The personal goals are designed to explore the Fundamental Attribution Error: Agent 1 pursues a dispositional attribution strategy (blaming character), while Agent 2 pursues a situational attribution strategy (blaming circumstances), creating a natural conversational conflict.",Assert moral superiority by repeatedly focusing on the other party's character flaws and negligence.,Deflect personal blame by emphasizing external pressures and situational constraints impacting behavior.,"""Seeking justice""",Aggrieved Plaintiff,Defensive Accused,"{'scenario_context': ""[Agent 1] and [Agent 2], who are neighbors with a history of friendly interactions, have agreed to meet in [Agent 1]'s living room to resolve a dispute regarding a fence that was damaged during a DIY project managed by [Agent 2]. The shared goal is to reach a fair agreement on the repairs ('Seeking Justice') and maintain their good standing in the neighborhood. [Agent 1], assuming the role of the aggrieved plaintiff, intends to use the meeting not just to get paid, but to highlight [Agent 2]'s pattern of negligence and carelessness. Conversely, [Agent 2] plans to agree to the repairs but is determined to deflect personal blame by citing the poor quality of the lumber and confusing property lines as the primary causes of the accident. Despite conflicting attribution styles, the low cost of repairs and mutual desire for resolution make the goal easily attainable."", 'explanation': ""The scenario creates a low-stakes interpersonal conflict where the 'Easy' difficulty is maintained through the agents' prior relationship and the simplicity of the solution (fixing a fence), despite their opposing psychological goals regarding blame and moral standing.""}",gemini,Easy
"{'Abbreviation': 'Nutrition', 'Full label': '""Being physiologically healthy, maintaining a healthy weight, eating nutritious foods""'}",Cooperation,"The category 'Cooperation' was selected because the agents share a mutual objective of physiological health. However, to explore attribution theory, the personal goals create friction: one agent seeks external validation for their internal struggles (attributing difficulty to situational stress), while the other focuses on strict internal discipline and logic (attributing success to dispositional willpower). This contrast allows for the analysis of how agents interpret each other's behaviors—as lack of effort versus lack of empathy.",Solicit empathy and reassurance regarding the emotional difficulty of lifestyle changes,Maintain a tone of disciplined objectivity to minimize emotional excuses,"""Being physiologically healthy, maintaining a healthy weight, eating nutritious foods""",Struggling Wellness Partner,Strict Accountability Mentor,"{'scenario_context': '[Agent 1] and [Agent 2] are seated at a kitchen table, reviewing their progress after the first successful week of a jointly agreed-upon, rigorous nutrition and exercise plan. Both share the explicit objective of improving physiological health and maintaining a healthy weight. As they prepare to finalize the schedule for the upcoming week, [Agent 1] feels the emotional strain of the lifestyle changes and intends to open up about the difficulty of the process to seek reassurance. [Agent 2], adopting a mentorship stance, has prepared a review of the caloric data and adherence metrics, intending to keep the session focused strictly on objective results rather than emotional hurdles.', 'explanation': ""The scenario maintains an 'Easy' difficulty level by establishing a cooperative foundation where both agents are already succeeding in their shared goal, removing immediate failure or crisis. The setup naturally juxtaposes [Agent 1]'s need for emotional attribution and validation against [Agent 2]'s goal of dispositional discipline without introducing high-stakes conflict.""}",gemini,Easy
